Russian,English
"Normally, the suppliers of the sources would undertake this work, and the old sources would be put into specially designed transport containers for return. |Обычно эту работу проводят поставщики источников, и старые источники помещают в специально сконструированные транспортные контейнеры для возврата. |","At this stage, there is the potential for transport problems to cause delays, resulting in the container being put into storage and possibly forgotten about.|На этом этапе существует вероятность того, что проблемы с перевозкой приведут к задержкам, в результате чего контейнер будет помещен на хранение и о нем могут забыть.|"
Self-shielded irradiators|Самоэкранированные облучатели|,"There are a number of smaller irradiators that have been described invariably as self-shielded (or self-contained) irradiators, or blood/tissue irradiators. |Существует ряд небольших облучателей, неизменно называемых самоэкранированными (или автономными) облучателями либо облучателями крови/ткани. |"
"Although they are smaller in size, they still contain high activity sources. |Хотя они меньше по размеру, они содержат высокоактивные источники. |",An example of such an irradiator is shown in Fig. 11. |Пример такого облучателя представлен на рис. 11. |
The older style blood irradiator is shown in Fig. 12. |Более старый тип облучателя крови показан на рис. 12. |,"These devices are used for the treatment of blood and consist of a shielded chamber with a cavity into which a sample of blood in a bag of about 2 L capacity is loaded. Hospitals and blood banks irradiate blood products to prevent transfusion-associated graft-versus-host-disease (GVHD). |Эти устройства используются для обработки крови и состоят из экранированной камеры с полостью, в которую помещается образец крови в пакете емкостью около 2 л. Больницы и банки крови облучают препараты крови для предотвращения трансфузионно-ассоциированной болезни «трансплантат против хозяина» (БТПХ). |"
"Transfusion associated GVHD is a deadly transfusion complication resulting when some donor white blood cells.|Трансфузионноассоциированная БТПХ — это смертельно опасное осложнение при переливании крови, которое может возникать, когда некоторые донорские лейкоциты поражают ткани реципиента.|","In addition to sterilizing blood, tissue and seeds, the irradiators are used for gemstone colouration, sterilization of medical equipment, insect irradiation and research into mutation effects on agricultural products. |Помимо стерилизации крови, тканей и семян, эти облучатели используются для окрашивания драгоценных камней, стерилизации медицинского оборудования, облучения насекомых и исследования влияния мутаций на сельскохозяйственную продукцию. |"
"Typically, the design includes a sample chamber with interlocked doors and the sources are moved around the chamber or the chamber is positioned next to the sources. |Как правило, конструкция включает камеру для образцов с блокируемыми дверцами, а источники перемещаются вокруг камеры либо же камера располагается рядом с источниками. |","There is no simple way of accessing the sources, however, the irradiator, with some modifications, can also serve as the source transport container.|Простого пути доступа к источникам не существует, при этом облучатель с некоторыми модификациями может также служить транспортным контейнером для источников.|"
"Some devices, including some kinds of radiation detectors and dosimeters, require irradiation calibration that is both precise and accurate at high doses. |Некоторые устройства, в том числе определенные виды радиационных детекторов и дозиметров, требуют калибровки облучения, которая должна быть точной и достоверной при высоких дозах. |","Some calibration sources used for these purposes are also considered self-shielded irradiators. |Некоторые калибровочные источники, используемые для этих целей, также считаются самоэкранированными облучателями. |"
"Radionuclide sources are typically used for this purpose because the decay energy (and decay rate) is known or readily calculable. |Как правило, для этой цели используются источники радионуклидов, поскольку энергия распада (и скорость распада) известна или легко вычисляется. |","These calibration irradiators are, on average, smaller-activity sources than the other self-shielded irradiators, but some hold about 80 TBq (2200 Ci) of 137Cs.|Эти калибровочные облучатели в среднем являются менее активными источниками, чем другие самоэкранированные облучатели, но некоторые из них содержат 137Cs с активностью около 80 ТБк (2200 Ки).|"
"There are some self-shielded irradiator device manufacturers operating today, such as: MDS Nordion of Canada; CIS-US, Inc., a French company that no longer manufactures new machines but is still servicing those in existence, and a US company, J.L. Shepherd and Associates. |В настоящее время существует несколько производителей самоэкранированных облучателей, в том числе канадская фирма MDS Nordion, CIS-US, Inc., французская компания, которая больше не производит новые аппараты, но продолжает обслуживание существующих, и американская компания J.L. Shepherd and Associates. |","There are 1341 self-shielded irradiators that use radioactive sources in the USA alone, approximately 85% of which use 137Cs, while nearly all of the remaining devices use 60Co. |В одних только США имеется 1341 самоэкранированный облучатель, в котором используются радиоактивные источники. Приблизительно 85% устройств работают на 137Cs, а почти все остальные — на 60Co. |"
"These include blood irradiators, research irradiators and calibration irradiators.|В их число входят облучатели крови, исследовательские облучатели и калибровочные облучатели.|",Few of the fixed devices have been involved in incidents because of their robust nature and design.
"|Инциденты имели место лишь с немногими стационарными устройствами, что объясняется простотой и надежностью их конструкции.|","While most of these irradiators are fixed, there are some devices, such as the ‘Gamma Kolos’ irradiators, which were mounted on heavy trucks or on trailers and moved throughout the former Soviet Union in order to irradiate seeds as they were being planted. |Хотя большинство таких облучателей стационарные, некоторые устройства, такие как облучатели «Гамма-колос», монтировались на тяжелых грузовиках или прицепах и перемещались по территории бывшего Советского Союза для облучения семян перед посевом. |"
"Most of these devices have now been removed from their vehicles, and are currently in storage (Fig. 13).",|Большинство этих устройств к настоящему времени снято с транспортных средств и находится на хранении (рис. 13).
Teletherapy machines|Аппараты дистанционной лучевой терапии|,"Teletherapy machines are commonly used in medical institutions, such as hospitals or clinics. |Аппараты дистанционной лучевой терапии обычно используются в медицинских учреждениях, таких как больницы или клиники. |"
"Radiotherapy uses ionizing radiation directed at a human or animal body to treat many serious diseases, most notably cancer. |В ходе лучевой терапии ионизирующее излучение направляется на тело человека или животного для лечения многих серьезных заболеваний, в первую очередь рака. |",High activity radionuclide sources can be used to create clinical ionizing radiation beams in the form of high energy gamma rays in teletherapy machines used for external beam radiotherapy. |В аппаратах дистанционной лучевой терапии могут использоваться высокоактивные источники радионуклидов для генерирования пучков ионизирующего излучения в виде жестких гамма-лучей. |
"Only four known radionuclides possess characteristics that make them candidates for use in external beam radiotherapy: 137Cs, 60Co, 152Eu and 226Ra. |В силу присущих им свойств в дистанционной лучевой терапии можно использовать только четыре известных радионуклида: 137Cs, 60Co, 152Eu и 226Ra. |","Europium-152 has not been developed yet for clinical use, and the use of 137Cs and 226Ra was discontinued for practical reasons and because of safety concerns. |Европий-152 пока не дошел до стадии клинического применения, а использование 137Cs и 226Ra было прекращено по практическим причинам и соображениям безопасности. |"
"Cobalt-60 is currently used in external beam radiotherapy devices found mostly in developing countries.|Кобальт-60 в настоящее время используется в аппаратах дистанционной лучевой терапии, эксплуатируемых главным образом в развивающихся странах.|","The radioactive source, which is relatively small in size, is securely located in the heavy shielded housing at the end of the rotating arm (Fig. 14). |Радиоактивный источник, имеющий относительно небольшие размеры, надежно зафиксирован в тяжелом экранированном корпусе на конце вращающегося кронштейна (рис. 14). |"
"The beam of radiation from the source is exposed when a shutter is opened during use. |Пучок излучения из источника выходит наружу, когда во время использования открывается затвор. |","As 137Cs was replaced by 60Co, it became necessary to renew sources at regular intervals, usually every five to seven years, because of the relatively short half-life of 60Co. |Поскольку 137Cs был заменен на 60Co, возникла необходимость обновлять источники через регулярные промежутки времени, обычно каждые пять-семь лет, из-за относительно короткого периода полураспада 60Co. |"
Teletherapy equipment was therefore designed to allow the source to be removed from the head and transferred to shielded transport containers in situ.,"|Поэтому оборудование для дистанционной лучевой терапии было разработано таким образом, чтобы источник можно было извлекать из головки и перемещать в экранированные транспортные контейнеры на месте.|"
FIG. 14. |РИС. 14. |,An old caesium teletherapy unit (circa 1960).
|Старый цезиевый аппарат дистанционной лучевой терапии (примерно 1960 года).|,"To facilitate the interchange of sources from one teletherapy machine to another and from one radionuclide production facility to another, standard source capsules have been developed for use around the world. |Чтобы сделать взаимозаменяемыми источники, используемые в различных аппаратах дистанционной лучевой терапии и на различных установках для производства радионуклидов, были разработаны стандартные капсулы для источников, используемые по всему миру. |"
"Teletherapy sources are usually replaced within one half-life of installation; however, financial considerations may result in longer use of the source. |Установленные источники для дистанционной лучевой терапии обычно заменяются в течение одного периода полураспада, однако по финансовым соображениям они могут использоваться дольше. |","Teletherapy machines are designed to enable on-site replacement of sources by trained technicians (the machines are not returned to the manufacturer for resourcing).|Аппараты дистанционной лучевой терапии сконструированы таким образом, чтобы квалифицированные техники могли заменить источники на месте (аппараты не возвращаются производителю для замены источника).|"
"Photographs of the old and damaged heads removed from the teletherapy units are presented in Fig. 15.|Фотографии старых и поврежденных головок, снятых с аппаратов дистанционной лучевой терапии, представлены на рис. 15.|",FIG. 15. |РИС. 15. |
Old and damaged teletherapy heads.|Старые и поврежденные головки аппаратов дистанционной лучевой терапии.|,"Cobalt-60 sources are generally in a solid, metallic form, being made up of a number of pellets or discs. |Источники на основе кобальта-60 обычно твердые, изготавливаются из металла и состоят из нескольких таблеток или дисков. |"
Sources are doubly encapsulated in stainless steel. |Они имеют двойную оболочку из нержавеющей стали. |,"They are manufactured in two or three standard sizes, and may be mounted in tungsten spacers within the teletherapy head. |Существуют два или три стандартных размера источников: их можно устанавливать в головку аппарата дистанционной лучевой терапии между вольфрамовыми прокладками. |"
The 60Co sources used in various teletherapy machines are shown in Fig. 16.,"|На рис. 16 показаны источники 60Co, используемые в различных аппаратах дистанционной лучевой терапии.|"
FIG. 16. |РИС. 16. |,Various 60Co teletherapy sources with associated fittings for loading into the teletherapy heads.
"|Различные источники 60Co, применяемые в аппаратах дистанционной лучевой терапии, с соответствующими крепежными элементами для установки в головки аппаратов.|","Caesium-137 teletherapy sources are usually in the form of caesium chloride in order to yield the necessary high specific activity so that the small sources can be designed for treatment purposes. |Источники для дистанционной лучевой терапии на основе цезия-137 обычно представляют собой хлорид цезия, обеспечивающий высокую удельную активность, что позволяет создавать источники небольших размеров для лечебных целей. |"
"Once the containment of a caesium chloride source is breached, the high mobility of the material causes a rapid spread of contamination. |В случае повреждения защитной оболочки источника на основе хлорида цезия высокая подвижность материала приводит к быстрому распространению загрязнения. |","Thus the problem is greater from sources with chemical forms that can easily be dispersed.|Поэтому проблема становится более острой в случае источников в химической форме, допускающей легкое рассеяние материала.|"
"Fixed, multibeam teletherapy (Gamma Knife®) machines|Стационарные аппараты для многолучевой телетерапии (гамма-ножи)|","The multibeam teletherapy machine is a similar device, but it uses a large number of sources in the array to focus on well defined treatment areas. |Аппарат для многолучевой телетерапии — это устройство, в котором в едином корпусе установлено большое количество источников, направляемых на четко определенные зоны лечения. |"
This device is used for medical procedures (radiosurgery) in cases of brain cancer and other brain illnesses.|Этот аппарат используется для проведения медицинских процедур (радиохирургии) при раке мозга и других заболеваниях мозга.|,"The Gamma Knife® (Elekta, Stockholm, Sweden) is a radiosurgical device that has been associated with, radiosurgery for the past 40 years. |Гамма-нож (Gamma Knife®, компания Elekta, Стокгольм, Швеция) — это радиохирургическое устройство, которое используется в радиохирургии на протяжении последних 40 лет. |"
"Despite great technological advances during this time, the fundamental design and principles of the Gamma Knife® have not changed much since the Swedish neurosurgeon Lars Leksell introduced the prototype unit in 1968. |Хотя за это время технология ушла далеко вперед, базовая конструкция и принципы работы гамма-ножа практически не изменились с тех пор, как в 1968 году шведский нейрохирург Ларс Лекселл представил прототип аппарата. |","The unit incorporates 201 60Co sources housed in the central body of the unit. |Он включает 201 источник 60Co, размещенный в центральном корпусе. |"
"These sources produce 201 collimated beams directed to a single focal point (machine isocentre) at a sourcefocus distance of about 40 cm. |Эти источники генерируют 201 коллимированный пучок, направленный в одну фокусную точку (изоцентр аппарата) на расстоянии от источника до фокуса около 40 см. |","The final definition of the circular beam field size is provided by one of four helmets delivering circular fields with nominal diameters between 4 and 18 mm at the machine focal point (isocentre)|Окончательное определение размера поля кругового пучка обеспечивается одним из четырех шлемов, создающих круговые поля с номинальным диаметром от 4 до 18 мм в фокусной точке (изоцентре) аппарата.|"
"There are approximately 200 Gamma Knife® devices worldwide, including at least 104 in the USA. |В мире насчитывается около 200 аппаратов типа «гамма-нож», в том числе не менее 104 в США. |","Elekta, a Swiss/Swedish company is the sole manufacturer of the Gamma Knife, while MDS Nordion is the main source for the small cobalt-60 sealed sources. |Единственным производителем гамма-ножей является швейцарско-шведская компания Elekta, а основным поставщиком миниатюрных закрытых источников на основе кобальта-60 — MDS Nordion. |"
"A Chinese company, GammaStar, has begun to market a competing device and Elekta is now selling a new version of the Gamma Knife® with 192 sources, instead of the 201 used in previous models.|Китайская компания-конкурент GammaStar представила на рынке аналогичное устройство, а Elekta в настоящее время предлагает новую версию гамма-ножа со 192 источниками вместо 201, использовавшегося в предыдущих моделях.|","The facilities within which a therapy device is located are specifically designed to include thick, shielded walls, as well as other protective equipment. |Помещения, в которых расположен терапевтический аппарат, специально проектируются таким образом, чтобы у них были толстые экранирующие стены, а также другое защитное оборудование. |"
A typical multibeam teletherapy machine is shown in Fig. 17.|Типичный аппарат для многолучевой телетерапии показан на рис. 17.,"Each of the Gamma Knife® 60Co sources is in the form of a steel capsule with a diameter of 1 mm and a height of 20 mm, containing 20 60Co pellets. The capsule is inserted into another steel capsule, which is enclosed by a bushing and loaded into the central body of the machine. |Каждый из источников 60Co в гамма-ноже представляет собой стальную капсулу, которая имеет диаметр 1 мм и высоту 20 мм и содержит 20 таблеток 60Co. Она вставляется в еще одну стальную капсулу со втулкой, которая помещается в центральный корпус аппарата. |"
"Each source bushing assembly is aligned with its precollimator (6.5 cm of tungsten alloy), stationary collimator (9.25 cm of lead), and the final collimator (6 cm of tungsten alloy) on one of the four helmets.","|Каждый источник в сборе со втулкой совмещается с соответствующим предварительным коллиматором (6,5 см вольфрамового сплава), стационарным коллиматором (9,25 см свинца) и окончательным коллиматором (6 см вольфрамового сплава) на одном из четырех шлемов.|"
FIG. 17. |РИС. 17. |,"Gamma Knife® installation showing the main body of the unit containing 201 cobalt sources (at 30 Ci = 1.11 TBq for each source), the treatment couch, and a collimator helmet attached to the treatment couch. |Установка «гамма-нож»: основной корпус аппарата, содержащий 201 источник кобальта (30 Ки = 1,11 ТБк на каждый источник), процедурная кушетка и коллиматорный шлем, прикрепленный к процедурной кушетке.|"
DEVICES AND CATEGORY 2 SOURCES|УСТРОЙСТВА И ИСТОЧНИКИ КАТЕГОРИИ 2|,Industrial gamma radiography projectors|Излучатели для промышленной гамма-радиографии|
"Gamma ray radiography is one of a number of technologies used in industry for safety assessment and quality control purposes. |Гамма-радиография входит в число технологий, используемых в промышленности для оценки безопасности и контроля качества. |","In particular, it is widely used in the chemical, petrochemical, and building industries for radiographic inspection of pipes, boilers and structures where the economic and safety consequences of failure can be severe.|В частности, она широко используется в химической, нефтехимической и строительной отраслях для радиографического контроля трубопроводов, котлов и сооружений в тех случаях, когда в результате отказа могут возникнуть серьезные последствия для экономики и безопасности.|"
Industrial gamma radiography projectors are used for the radiography of engineered structures. |Излучатели для промышленной гамма-радиографии используются при радиографическом исследовании инженерных сооружений. |,"They contain a single source attached to a flexible cable which can be exposed near the object that is being investigated. |Они имеют один источник, прикрепленный к гибкому кабелю, что позволяет помещать его вблизи исследуемого объекта. |"
"A radiographic film is attached behind the object, and the penetrating gamma rays expose the film. |Позади объекта закрепляется радиографическая пленка, которая экспонируется проникающими гамма-лучами. |",Variations in the density of the item being radiographed are shown in the image of the film. |Изменения в плотности радиографируемого объекта проявляются на пленке. |
The devices are often also referred to as radiography cameras (Fig. 18).,|Эти устройства часто называют также радиографическими камерами (рис. 18).
FIG. 18. |РИС. 18. |,A typical gamma radiography system.
|Типичная система гамма-радиографии.,"Most industrial radiography equipment consists of a radiography unit, which may contain depleted uranium as shielding material, and one or more sealed sources (Fig. 19). |Большинство приборов для промышленной радиографии состоит из радиографического блока, в котором в качестве экранирующего материала может использоваться обедненный уран, и одного или нескольких закрытых источников (рис. 19). |"
"Currently, sources containing 192Ir or 60Co, or 169Yb, 170Tm or 75Se, are used in gamma radiography. The sources are usually doubly encapsulated in stainless steel, and contain one or more pellets of active material in metal form. |В настоящее время в гамма-радиографии используются источники, содержащие 192Ir, 60Co, 169Yb, 170Tm или 75Se. Источники обычно имеют двойную оболочку из нержавеющей стали и содержат одну или несколько таблеток активного материала в металлической форме. |","The source is held in a flexible assembly, sometimes called a source holder, pencil, shuttle or pig tail (see Figs 20-22). |Источник находится внутри гибкого устройства, называемого держателем (см. рис. 20-22). |"
"Portable, industrial radiography devices are generally small in size, although they are relatively heavy due to the shielding.","|Портативные устройства для промышленной радиографии обычно имеют небольшой размер, но являются относительно тяжелыми из-за экранирования.|"
FIG. 19. |РИС. 19. |,Typical industrial radiography projectors.
|Типичные излучатели для промышленной радиографии.|,|РИС. 20. |
|Типичные старые источники для гамма-радиографии в комплекте с кабелем.|,|РИС. 21. |
|Типичный современный источник для гамма-радиографии в комплекте с кабелем.|,|РИС. 22. |
|Типичная внутренняя капсула с источником для гамма-радиографии до установки внутрь кабеля.|,"When not in use, the source is located in the centre of the source container. |В нерабочем состоянии источник находится в центре контейнера источника. |"
"During use, the source is pushed down into the desired position by a remote controlled device. |Во время использования источник выдвигается в нужное положение с помощью устройства дистанционного управления. |","In heavy industries, such as steel foundries or fabrication plants, portable, mobile (on wheels) or fixed radiographic equipment, containing 192Ir, 60Co or 137Cs, may be installed in purpose built enclosures. |На предприятиях тяжелой промышленности, например в сталелитейных или производственных цехах, портативное, мобильное (на колесах) или стационарное радиографическое оборудование, содержащее 192Ir, 60Co или 137Cs, может быть установлено в специально созданные корпуса. |"
"Because mobile or fixed installations incorporate heavier shielding than portable source housings, they are less susceptible to theft and more difficult to dismantle.","|Поскольку мобильные или стационарные установки имеют более мощное экранирование, чем корпуса портативных источников, их труднее похитить или демонтировать.|"
"The housings of portable sources contain several tens of kilograms of shielding material, such as depleted uranium, lead or tungsten, which may be perceived as being potentially valuable. |В корпусах портативных источников содержится несколько десятков килограммов экранирующего материала, такого как обедненный уран, свинец или вольфрам, который может рассматриваться как потенциально ценный. |","Also relevant is the fact that the portable nature of most equipment allows it to be used almost anywhere. |Следует также отметить тот факт, что портативность большинства приборов позволяет использовать их практически везде. |"
Often this is in remote locations or under extreme working conditions. |Зачастую это происходит в удаленных местах или в экстремальных рабочих условиях. |,"This situation, coupled with limited or non-existent supervision, provides the potential for entire containers with their sources to be lost or stolen. |Вследствие этой ситуации, а также ввиду ограниченности или отсутствия надзора возникает вероятность утери или хищения целых контейнеров с источниками. |"
They can end up in the metals recycling industry or remain in the public domain. |В результате они могут оказаться на предприятии по переработке металлолома или стать достоянием общественности. |,"These are similar problems to those for disused teletherapy sources, and while the activity levels for industrial radiography are lower, they are still sufficient to produce lethal effects. |Эти проблемы схожи с проблемами изъятых из употребления источников для дистанционной лучевой терапии, и хотя уровни активности в промышленной радиографии ниже, они все же могут оказаться летальными. |"
"Perhaps the most significant threat comes from loss of the unshielded source. |Вероятно, наиболее значительную угрозу создает утеря неэкранированного источника. |","The large numbers, work environment, activity level and portability/mobility of most industrial radiography sources make them prime targets for the deliberate acquisition for malevolent purposes.|Большое количество промышленных радиографических источников, рабочие условия, уровень активности и портативность/мобильность большинства таких источников делают их главными объектами для умышленного присвоения в злонамеренных целях.|"
High/medium dose rate brachytherapy machines|Аппараты для брахитерапии с высокой/средней мощностью дозы|,"Brachytherapy (therapy at a short distance) is a term that is used to describe the interstitial, or intra-cavity, application of radioactive sources by placing them directly in the tumour (breast, prostate), in moulds (skin, rectum), or in special applicators (vagina, cervix). |Брахитерапия (терапия на малых расстояниях) — это термин, обозначающий внутритканевое или полостное применение радиоактивных источников путем введения их непосредственно в опухоль (груди, предстательной железы), полости (кожа, прямая кишка) или специальные аппликаторы (влагалище, шейка матки). |"
Brachytherapy applications are of two slightly different varieties. |Существуют две несколько различающиеся разновидности брахитерапии. |,These are generally referred to as HDR brachytherapy (Category 2) and LDR brachytherapy (Category 4 or 5). |Обычно они называются брахитерапией с высокой мощностью дозы (ВМД) (категория 2) и брахитерапией с низкой мощностью дозы (НМД) (категория 4 или 5). |
"HDR sources, and some LDR sources, may be in the form of a long wire attached to a device (a remote afterloading device).|Источники с ВМД и некоторые источники с НМД могут быть выполнены в виде длинной проволоки, прикрепленной к устройству (устройство дистанционного афтерлодинга).|","Afterloading devices may be heavy due to the shielding for the sources when they are not in use. |Устройства афтерлодинга могут быть тяжелыми вследствие экранирования источников, когда они не используются. |"
The device may be on wheels for transport within a facility. |Устройство может быть оснащено колесами для транспортировки в пределах учреждения. |,"The remote afterloading device may also contain electrical and electronic components for its operation (Fig. 23). |Устройство дистанционного афтерлодинга может также содержать электрические или электронные компоненты, обеспечивающие его работу (рис. 23). |"
"When using these devices, catheters are first inserted into the body and the sources, attached to cables, are then introduced by remote control.|При использовании этих устройств сначала в тело вводят катетеры, а затем дистанционно вводят источники, прикрепленные к тросикам.|","Historically, 226Ra was used for brachytherapy. |В прошлом в брахитерапии использовался 226Ra. |"
The sources were encapsulated in platinum in either needles or tubes of a few mm in width and up to 5 cm in length. |Источники помещались в платиновые капсулы в виде игл или трубочек толщиной несколько миллиметров и длиной до 5 см. |,"Currently, most high and medium dose rate brachytherapy is performed with 192Ir, but 60Co and 137Cs are also used. |В настоящее время для брахитерапии с высокой и средней мощностью дозы в основном используется 192Ir, но также применяются 60Co и 137Cs. |"
"Sources are manufactured in different sizes and shapes, including wires or ribbons.","|Выпускаются источники различных размеров и форм, в том числе в виде проволок и лент.|"
"When not in use, brachytherapy sources are normally stored in lead shielded safes or containers, but there have been cases when the sources were improperly kept loaded in applicators in transport carts. |Неиспользуемые источники для брахитерапии обычно хранятся в сейфах или контейнерах со свинцовой защитой, но имели место случаи, когда источники в нарушение регламента оставались загруженными в аппликаторы в транспортных тележках. |","Similarly, sources past their useful life have been left in safes or transport containers. |Подобным же образом источники, срок службы которых истек, оставались в сейфах или транспортных контейнерах. |"
"If the cable of a remote afterloader breaks, the sources may become detached. |При обрыве тросика устройства дистанционного афтерлодинга источник может отделиться от него. |",Failure to recognize these problems may pose significant risks.|Из-за игнорирования этих проблем могут возникнуть значительные риски.
FIG. 23. |РИС. 23. |,An LDR brachytherapy machine with 192Ir sources and a 192Ir source.
"|Аппарат для брахитерапии с НМД, работающий на источниках 192Ir, и сам источник 192Ir",Calibration systems|Калибровочные системы|
"Calibration systems use high activity radioactive sources (approximately 15 to 82 TBq (400 to 2200 Ci)) to produce radiation fields of known intensity for calibration of radiation monitoring equipment and dosimeters, whereby the equipment and dosimeters can be evaluated for accurate operation. |В калибровочных системах используются радиоактивные источники высокой активности (приблизительно от 15 до 82 ТБк (от 400 до 2200 Ки)), чтобы создавать радиационные поля известной интенсивности в целях калибровки оборудования радиационного мониторинга и дозиметров, позволяющей оценить точность работы такого оборудования и дозиметров. |",A source of measured activity is required to calibrate instruments and dosimeters to accepted standards. |Для калибровки приборов и дозиметров в соответствии с принятыми стандартами требуется источник с измеренной активностью. |
Figure 24 shows a diagram and a photograph of a typical gamma beam calibration source.,|На рис. 24 показаны схема и фотография типичного источника для калибровки гамма-пучка.|
FIG. 24. |РИС. 24. |,Typical gamma calibrator configuration for survey instrument calibration.
|Типичная конфигурация гамма-калибратора для калибровки измерительных приборов.,"The system usually consists of radioactive sources, radiation shielding, a mechanism for positioning the source, and a track or internal chamber for positioning the items to be calibrated. |Система обычно состоит из радиоактивных источников, защитного кожуха, механизма позиционирования источника и направляющей или внутренней камеры для размещения калибруемых предметов. |"
